id,title,like_count,view_count,comment_count,duration,upload_date,has_caption,url,channel_id,transcript
29,교수님 브이로그 ep.1 건축학부 조준희 교수님 | 교수님 밀착취재 | SNS 홍보대사 시:선,47,1520,3,11분 31초,2024-03-26 13:30,1,https://www.youtube.com/watch?v=fE_qTXxph9Y,1,
30,시립대 캠퍼스에서 인생샷을 찍을 수 있다고? | 서울시립대 홍보대사 이루미,22,985,1,9분 51초,2024-03-22 8:10,1,https://www.youtube.com/watch?v=MZQC2D3tl-c,1,
31,[대학생 옷 고민? 이 영상으로 끝내드립니다. | 서울시립대학교 홍보대사 이루미],26,2393,2,5분 0초,2024-03-08 5:00,1,https://www.youtube.com/watch?v=Cm8nUigDTtg,1,
32,[나는 개 강한 대학생이다 | 서울시립대학교 홍보대사 이루미],40,3192,4,4분 2초,2024-03-08 5:00,1,https://www.youtube.com/watch?v=6be6q41urAU,1,
33,시대 “갓생러”의 하루 근데 어딘가 조금 이상한... | 시대 인간극장 | SNS 홍보대사 시:선,28,1177,4,12분 23초,2024-02-29 13:48,1,https://www.youtube.com/watch?v=ZyBZYdmSdwU,1,
34,굿바이 이루미 18기ㅣ서울시립대 홍보대사 이루미,23,1195,2,14분 32초,2024-02-29 7:00,1,https://www.youtube.com/watch?v=5SfAf_XZ-LU,1,
35,시험기간에 살아남기 | SNS홍보대사 시:선,27,1007,3,4분 59초,2024-02-26 7:31,1,https://www.youtube.com/watch?v=o5eFyFgd4gc,1,
36,평범한 시대생이던 내가 이세계에선 LCK 1군 코치? | 시립대의 천재들 ep. 11 | FearX Youth 플레잉 코치 김우섭 (세무 17) | SNS홍보대사 시:선,27,2054,8,8분 33초,2024-02-16 9:00,1,https://www.youtube.com/watch?v=pgF2RVRbSns,1,
37,2024년 서울시립대학교 신입생 대학생활안내,48,1913,3,7분 48초,2024-02-15 4:13,1,https://www.youtube.com/watch?v=n2MHHmy9bjA,1,
38,[2023 드론활용 전문가 양성 교육] 최우수상 “비행청년들” 서울시립대학교 캠퍼스 스케치,33,1614,4,1분 59초,2024-01-29 1:00,1,https://www.youtube.com/watch?v=pkL0R2kVGis,1,
39,[2023 드론활용 전문가 양성 교육] 우수상 “4드론” 서울시립대학교 캠퍼스 스케치,11,476,4,2분 44초,2024-01-29 1:00,1,https://www.youtube.com/watch?v=6vy_yp5RIK8,1,
40,서울시립대학교 홍보영상,91,8506,14,2분 3초,2024-01-23 5:28,1,https://www.youtube.com/watch?v=yKoksPgKxAM,1,
41,ソウル市立大学 大学紹介映像 (JPN Sub),20,843,2,2분 3초,2024-01-23 5:28,1,https://www.youtube.com/watch?v=Y0MVIh3Nz5Y,1,
42,首尔市立大学 官方宣传片 (CHN Sub),3,207,0,2분 3초,2024-01-23 5:28,1,https://www.youtube.com/watch?v=0dyVxbQ1Tqc,1,
43,University of Seoul Official Promotional Video (ENG Sub),3,305,3,2분 3초,2024-01-23 5:28,1,https://www.youtube.com/watch?v=hfKhYKXdFmM,1,
44,2023년 이루미 2학기 결산 🏆 | 서울시립대 홍보대사 이루미,23,1511,0,3분 21초,2024-01-05 7:48,1,https://www.youtube.com/watch?v=3KZv58bKlT4,1,
